market,observable_family,mapping_status,historical_data_status,point_in_time_required,signed_or_directional_lineage_required,live_decision_weight,capital_permission
IHSG,issuer_disclosures,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,broker_inventory_persistence,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
IHSG,foreign_domestic_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
IHSG,crossing_adjustment,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,free_float_controller,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,corporate_actions,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,commodity_and_fx_exposure,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,customer_supplier_network,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,order_book_done_detail,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
IHSG,SSF_futures,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,COT_TFF_disaggregated,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
COMMODITIES,exchange_OI_volume,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,signed_trade_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
COMMODITIES,futures_curve,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,options_surface,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,inventory,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,physical_differentials,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,freight_storage,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,production_consumption,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,capacity_outage,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,weather,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
COMMODITIES,policy_geopolitics,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,TFF_positioning,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
FX,rate_OIS_surprise,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,real_rate_value,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,cross_currency_basis,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,options_skew_term_structure,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,reserve_intervention,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,external_debt_mismatch,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,terms_of_trade,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,trade_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
FX,order_book,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,venue_OI,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,funding_basis,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,signed_liquidations,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
CRYPTO,aggressor_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,True,0.0,BLOCKED
CRYPTO,order_book_depth,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,options_surface,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,onchain_exchange_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,stablecoin_impulse,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,token_unlock_emissions,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,protocol_revenue_usage,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,bridge_ME​V_flow,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
CRYPTO,narrative_attention,REGISTERED,REQUIRES_EXACT_SOURCE_AUDIT,True,False,0.0,BLOCKED
