spec,kind,horizon_m,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q_nonoverlap,status,reason
cape_level,UNIVARIATE,6,0.008005056053393,0.9326350380071646,0.8202995008319468,0.9326350380071646,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_level,UNIVARIATE,12,0.0158912730219205,0.9032516346132812,0.6955074875207987,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_chg_12m,UNIVARIATE,12,0.078160737192674,0.5493442868786793,0.3993344425956738,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_yoy_negative,UNIVARIATE,12,0.0771549444738233,0.5545103877415702,0.7138103161397671,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_6m,UNIVARIATE,12,0.023955579058699,0.8545982345107107,0.043261231281198,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_12m,UNIVARIATE,12,0.0559044178938594,0.6713787482401575,0.237936772046589,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
dividend_yoy_negative,UNIVARIATE,12,0.0400317292437863,0.7593668023928628,0.502495840266223,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
dividend_decel_6m,UNIVARIATE,12,-0.0954521417239555,0.464317852798034,0.2678868552412645,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_avg,UNIVARIATE,12,0.178021978021978,0.5425969526062154,0.8435940099833611,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_max,UNIVARIATE,12,0.1912087912087912,0.5125839704707786,0.7504159733777038,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_expanding_pct,UNIVARIATE,12,0.1398601398601399,0.6646331617926677,0.7171381031613977,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_chg_3m,UNIVARIATE,12,-0.2637362637362637,0.3839365166506741,0.9367720465890182,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_noise,UNIVARIATE,12,-0.0227392913802221,0.8619064603694583,0.346089850249584,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_sine,UNIVARIATE,12,-0.0961924907456372,0.4608441792811732,0.7304492512479202,0.9241839795692836,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
cape_level,UNIVARIATE,24,0.1990147783251231,0.3006763893462304,0.3444259567387687,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
cape_expanding_pct,UNIVARIATE,24,0.147783251231527,0.4529668967572381,0.5457570715474209,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_level,UNIVARIATE,24,0.0179453574860968,0.9236658385934968,0.9351081530782028,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_chg_6m,UNIVARIATE,24,0.2012096774193548,0.2777449513173264,0.1663893510815307,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_chg_12m,UNIVARIATE,24,-0.0131256952169076,0.9451166719944468,0.4675540765391014,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_yoy,UNIVARIATE,24,0.135928809788654,0.4738605007204884,0.3211314475873544,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_accel_6m,UNIVARIATE,24,0.253837597330367,0.1758830229537755,0.0931780366056572,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_abs,UNIVARIATE,24,0.135928809788654,0.4738605007204884,0.3277870216306156,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
real_rate_proxy,UNIVARIATE,24,-0.1626251390433815,0.3905487880141028,0.2895174708818636,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_yoy_negative,UNIVARIATE,24,0.2137931034482758,0.2566214549399979,0.5773710482529119,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_6m,UNIVARIATE,24,0.0327030033370411,0.863786459147252,0.8202995008319468,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_12m,UNIVARIATE,24,0.0531701890989988,0.7802081176079786,0.7254575707154742,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
dividend_yoy_negative,UNIVARIATE,24,0.1354838709677419,0.4753226725916998,0.2246256239600665,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
dividend_decel_6m,UNIVARIATE,24,-0.0184649610678531,0.9228476207693762,1.0,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_avg,UNIVARIATE,24,,,0.7487520798668885,,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_max,UNIVARIATE,24,,,0.6905158069883528,,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_expanding_pct,UNIVARIATE,24,,,0.5790349417637272,,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_chg_3m,UNIVARIATE,24,,,0.6139767054908486,,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_noise,UNIVARIATE,24,-0.0052419354838709,0.9776728208886184,0.3311148086522462,0.9776728208886184,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_sine,UNIVARIATE,24,0.1201612903225806,0.5196558831397389,0.9550748752079868,0.8314494130235822,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_inflation_eq,COMBO,6,-0.0731948780756396,0.4288881139632104,0.5855181023720349,0.4288881139632104,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_rate_eq,COMBO,6,-0.0825276438863005,0.3701927718375339,0.4444444444444444,0.4288881139632104,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_vix_eq,COMBO,6,-0.147347063945226,0.1280650657926654,0.0112359550561797,0.2241138651371644,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate_vix_eq,COMBO,6,0.1243054403831948,0.176152177594072,0.0012484394506866,0.2466130486317009,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_inflation_eq,COMBO,12,-0.1322033898305085,0.3182134081105829,0.3570536828963795,0.3712489761290135,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_rate_eq,COMBO,12,-0.1079188663517644,0.4117874600546548,0.1685393258426966,0.4117874600546548,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_vix_eq,COMBO,12,-0.2090718505812845,0.1292082026509673,0.079900124843945,0.2261143546391927,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_vix_eq,COMBO,12,0.1414962010520163,0.28507503302296,0.0074906367041198,0.3712489761290135,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_pressure_eq,COMBO,24,-0.1030033370411568,0.5880636614116412,0.0187265917602996,0.7496687971055747,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
inflation_rate_shock_eq,COMBO,24,0.0883203559510567,0.6425732546619212,0.0561797752808988,0.7496687971055747,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_inflation_eq,COMBO,24,0.1733036707452725,0.3597476513161872,0.951310861423221,0.6652059862401781,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_rate_eq,COMBO,24,-0.0260289210233592,0.8914012942214922,0.7528089887640449,0.8914012942214923,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
valuation_vix_eq,COMBO,24,-0.2503052503052503,0.207943109397529,0.5368289637952559,0.6652059862401781,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate_vix_eq,COMBO,24,0.1661846496106785,0.3801177064229589,0.0961298377028714,0.6652059862401781,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
