candidate,capital_permission,evaluation_status,family,global_795_status,global_lockbox_lb_25bps,global_lockbox_lb_gross,global_registered_trials,global_validation_lb_25bps,global_validation_lb_gross,historical_support,is_placebo,is_placebo_or_interaction,ledger_id,live_decision_weight,lockbox_lb,lockbox_lb_25bps,lockbox_lb_gross,name,proof_ceiling,protocol_sha256,registered_trial_count_family,study,validation_lb,validation_lb_25bps,validation_lb_gross
AnalystValue,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.009511376384383978,-0.007011376384383978,795,-0.062328786904505246,-0.05982878690450524,False,,,OPENAP:AnalystValue,0.0,,-0.008552368260234915,-0.006052368260234915,Analyst Value,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.056587654535892776,-0.054087654535892773
AnnouncementReturn,BLOCKED,ROBUST_25BPS_POSTSAMPLE,openap_predictor,SURVIVES_GLOBAL_GROSS_ONLY,-0.0003428293612608513,0.00215717063873915,795,0.002461661007647999,0.004961661007648001,True,,,OPENAP:AnnouncementReturn,0.0,,6.878320506755603e-05,0.0025687832050675574,Earnings announcement return,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,0.0031791048958902356,0.005679104895890238
AssetGrowth,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.01306923981547489,-0.01056923981547489,795,-0.004782924233733457,-0.002282924233733462,False,,,OPENAP:AssetGrowth,0.0,,-0.011891619409182678,-0.009391619409182678,Asset growth,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0033101855808321777,-0.0008101855808321807
BM,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.007250048776122165,-0.004750048776122165,795,0.001803959683136156,0.004303959683136146,False,,,OPENAP:BM,0.0,,-0.006443488041673953,-0.003943488041673953,"Book to market, original (Stattman 1980)","Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,0.003113657053572751,0.005613657053572741
BMdec,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.00652970883937405,-0.00402970883937405,795,-0.003869034802294561,-0.0013690348022945588,False,,,OPENAP:BMdec,0.0,,-0.0057727939367248765,-0.003272793936724877,Book to market using December ME,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.002425837272748291,7.416272725171112e-05
BPEBM,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.010353075787942529,-0.007853075787942528,795,-0.009550279949751106,-0.0070502799497511055,False,,,OPENAP:BPEBM,0.0,,-0.009695341002668206,-0.007195341002668207,Leverage component of BM,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.008946734855829972,-0.006446734855829972
Beta,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.013452903936087205,-0.010952903936087202,795,-0.017879787859170056,-0.015379787859170059,False,,,OPENAP:Beta,0.0,,-0.01233890474480314,-0.009838904744803138,CAPM beta,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.015627770061876503,-0.013127770061876506
BetaFP,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.036123907308713066,-0.033623907308713064,795,-0.03781657449223899,-0.03531657449223899,False,,,OPENAP:BetaFP,0.0,,-0.03271137717660896,-0.03021137717660896,Frazzini-Pedersen Beta,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.03528571780374137,-0.03278571780374138
BetaLiquidityPS,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.013752699837666221,-0.011252699837666219,795,-0.019471863390766304,-0.0169718633907663,False,,,OPENAP:BetaLiquidityPS,0.0,,-0.012988069344159456,-0.010488069344159454,Pastor-Stambaugh liquidity beta,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.01744633431833246,-0.014946334318332456
BetaTailRisk,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.006381621887761008,-0.0038816218877610054,795,-0.02260512967579586,-0.020105129675795856,False,,,OPENAP:BetaTailRisk,0.0,,-0.0051743926245591005,-0.0026743926245590983,Tail risk beta,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.021144111364982537,-0.018644111364982535
BidAskSpread,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.019441806446396932,-0.016941806446396934,795,-0.037577958965248584,-0.03507795896524859,False,,,OPENAP:BidAskSpread,0.0,,-0.017935346975545878,-0.015435346975545876,Bid-ask spread,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0352207652657898,-0.0327207652657898
BookLeverage,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.014026953814502544,-0.011526953814502541,795,-0.027085454046293977,-0.024585454046293975,False,,,OPENAP:BookLeverage,0.0,,-0.012925997611341892,-0.01042599761134189,Book leverage (annual),"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.02556795877786055,-0.023067958777860546
BrandInvest,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.04932468099984644,-0.04682468099984645,795,-0.02923673006462943,-0.026736730064629427,False,,,OPENAP:BrandInvest,0.0,,-0.045490367572020254,-0.042990367572020266,Brand capital investment,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.027510088829145185,-0.025010088829145183
CBOperProf,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.02969094887325334,-0.027190948873253337,795,-0.01884108144641799,-0.016341081446417993,False,,,OPENAP:CBOperProf,0.0,,-0.02719528155589002,-0.024695281555890018,Cash-based operating profitability,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.016557824369191062,-0.014057824369191067
CF,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.010215972387744814,-0.00771597238774481,795,-0.02033135934604998,-0.01783135934604998,False,,,OPENAP:CF,0.0,,-0.009131169125117305,-0.006631169125117301,Cash flow to market,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.018511396672385456,-0.016011396672385454
CPVolSpread,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.006411127718813148,-0.00391112771881315,795,-0.0016903515747498142,0.0008096484252501854,False,,,OPENAP:CPVolSpread,0.0,,-0.0057915583415040495,-0.0032915583415040503,Call minus Put Vol,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0011391167368732863,0.0013608832631267125
Cash,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.04469990361439438,-0.04219990361439438,795,-0.019168016331348677,-0.01666801633134868,False,,,OPENAP:Cash,0.0,,-0.04150878697579231,-0.039008786975792305,Cash to assets,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.01732660456899602,-0.014826604568996019
CashProd,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.017349381518288323,-0.014849381518288324,795,-0.012620738928730429,-0.010120738928730428,False,,,OPENAP:CashProd,0.0,,-0.015824863770428958,-0.01332486377042896,Cash Productivity,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.011567043896915118,-0.009067043896915117
ChAssetTurnover,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.006337541578538705,-0.0038375415785387047,795,-0.007134780894929498,-0.004634780894929498,False,,,OPENAP:ChAssetTurnover,0.0,,-0.005943894483171636,-0.003443894483171636,Change in Asset Turnover,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.006694848326232538,-0.0041948483262325385
ChEQ,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.010181482656625536,-0.007681482656625536,795,-0.013217142683251446,-0.010717142683251446,False,,,OPENAP:ChEQ,0.0,,-0.009001024469003093,-0.0065010244690030935,Growth in book equity,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.012197492262705386,-0.009697492262705385
ChForecastAccrual,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.00516401200297472,-0.00266401200297472,795,-0.007601337820892012,-0.005101337820892011,False,,,OPENAP:ChForecastAccrual,0.0,,-0.004883002636650357,-0.002383002636650357,Change in Forecast and Accrual,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.006909326962527775,-0.004409326962527774
ChInv,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.004814084481201561,-0.0023140844812015613,795,-0.015960416061576416,-0.013460416061576417,False,,,OPENAP:ChInv,0.0,,-0.004370751175747551,-0.0018707511757475514,Inventory Growth,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.01465568504636271,-0.012155685046362712
ChInvIA,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.008027534054570152,-0.005527534054570152,795,-0.005303466534434215,-0.002803466534434215,False,,,OPENAP:ChInvIA,0.0,,-0.007565384983317784,-0.005065384983317784,Change in capital inv (ind adj),"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.004216518343615106,-0.0017165183436151053
ChNAnalyst,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.010733940905910963,-0.008233940905910963,795,-0.016437020753785857,-0.013937020753785856,False,,,OPENAP:ChNAnalyst,0.0,,-0.009850144467588917,-0.007350144467588917,Decline in Analyst Coverage,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.015250924123688663,-0.012750924123688662
ChNNCOA,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.007940402701574133,-0.0054404027015741326,795,-0.007187883616116818,-0.004687883616116818,False,,,OPENAP:ChNNCOA,0.0,,-0.00760490451202384,-0.00510490451202384,Change in Net Noncurrent Op Assets,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.006691422622040888,-0.004191422622040888
ChNWC,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.004809869351252625,-0.002309869351252624,795,-0.008228130543051755,-0.005728130543051755,False,,,OPENAP:ChNWC,0.0,,-0.004495124616438338,-0.001995124616438338,Change in Net Working Capital,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0077650659871572325,-0.005265065987157233
ChTax,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.007245233338063923,-0.004745233338063923,795,-0.006552529277751844,-0.004052529277751843,False,,,OPENAP:ChTax,0.0,,-0.006474863966508121,-0.003974863966508121,Change in Taxes,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.005804667938276361,-0.00330466793827636
ChangeInRecommendation,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.0032195451280135306,-0.0007195451280135302,795,-0.005384612438604011,-0.0028846124386040124,False,,,OPENAP:ChangeInRecommendation,0.0,,-0.0029147114336722083,-0.00041471143367220785,Change in recommendation,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.004941462765908594,-0.0024414627659085945
CitationsRD,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.01620855496657216,-0.013708554966572159,795,-0.010488230532650892,-0.007988230532650893,False,,,OPENAP:CitationsRD,0.0,,-0.014960023205824178,-0.012460023205824178,Citations to RD expenses,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0096859810348971,-0.007185981034897102
CompEquIss,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.0057132593549460205,-0.003213259354946021,795,-0.012397136551000894,-0.009897136551000897,False,,,OPENAP:CompEquIss,0.0,,-0.005155091105788031,-0.002655091105788031,Composite equity issuance,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.011122397678645243,-0.008622397678645246
CompositeDebtIssuance,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.006360575032742003,-0.0038605750327420016,795,-0.0039880636226610235,-0.0014880636226610217,False,,,OPENAP:CompositeDebtIssuance,0.0,,-0.005851109168607635,-0.0033511091686076336,Composite debt issuance,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0036019127017412793,-0.0011019127017412775
ConsRecomm,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.01156920218159425,-0.00906920218159425,795,-0.006898090053101614,-0.0043980900531016155,False,,,OPENAP:ConsRecomm,0.0,,-0.010755700529826558,-0.008255700529826557,Consensus Recommendation,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.006099302967800493,-0.0035993029678004947
ConvDebt,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.011883282055440092,-0.009383282055440086,795,-0.008893895045261158,-0.006393895045261157,False,,,OPENAP:ConvDebt,0.0,,-0.01066635760511206,-0.008166357605112057,Convertible debt indicator,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.008164173530225739,-0.005664173530225736
CoskewACX,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.008586382675300696,-0.006086382675300697,795,-0.023468526248799,-0.020968526248799,False,,,OPENAP:CoskewACX,0.0,,-0.007852418860941953,-0.005352418860941954,Coskewness using daily returns,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0211992219734475,-0.0186992219734475
